booking_uuid,auction_corridor_min_price,auction_corridor_max_price,auction_winning_price
e715ee70-7bb9-4984-b6a3-21e9d59d2df1,69.98,76.17,69.98
ea2bb21a-62d4-4022-a404-668b7c9f5bc0,68.64,82.23,103.04
fa0de11f-c74d-4610-a36a-d9ae4e7975d2,64.60,67.93,66.50
fe3179d6-d50f-4d6b-9c1e-eb23b333b669,41.66,53.03,46.00
f161725f-4022-48c9-a984-33afe23553ab,50.00,70.00,70.00
fe26f597-81e5-44f0-a3c5-cf59a83e9834,51.79,64.30,76.11
ac223104-8d9d-428c-9117-13e0c2d2881d,221.44,311.12,342.46
b54e1bbd-0537-448a-8a8a-6f0574a3f5f1,96.57,118.54,92.20
bee80560-275b-4f34-80bb-8227c7858476,87.64,103.02,140.69
d4306f28-3653-4895-89c2-dd9871c6e28d,89.00,92.12,89.00
ee3aa095-ce5a-498d-be57-eda88a1bcea5,63.80,77.79,115.47
f58d55c0-f72b-4ff1-b9a9-0de59639c028,59.71,80.81,59.71
ce1faf9a-3d03-461b-a58e-6bbcc7ed12f9,76.75,94.07,76.75
e0fcadaa-4615-4b0e-9dac-fe515db1f495,47.52,64.80,80.00
f5ab1d82-98c7-4020-aecd-0a4b2c3c0f89,72.77,86.59,72.77
ff5df831-8087-417c-85e1-49b4f8edc731,124.99,158.93,143.00
de8986c6-abb4-4c07-82f1-cdaad0549649,97.52,120.34,106.00
e8021e91-c329-40be-8aa0-97c762504c2d,104.36,123.76,104.36
f0f0d259-4518-4ebd-8c3e-0e57d78de303,61.03,75.75,72.15
f1f53d1e-6902-4cdc-ae6b-d73cd802da94,72.73,86.13,72.73
ec58a30e-39e0-4ad0-bfbd-d88a697303a1,44.52,77.17,44.52
f6b933cc-d28a-463b-af4a-6670b803b1be,791.83,897.47,791.83
fee40055-93a7-4cb7-8810-71d2440ab267,99.43,117.25,99.43
ef7f1688-f07e-4559-a91f-94759fcc2682,65.09,79.83,111.43
9ff2d127-5118-44d7-952f-5567827b5a9c,76.11,93.11,93.03
af8c2b38-d0ee-40d8-8588-a93d7441e77a,162.58,222.82,221.67
b5b1bd32-97fb-4890-8eb3-fb3d56376f07,62.35,76.00,104.05
19703f8b-7985-4eb5-acd2-692cd4abe07a,97.33,121.12,121.12
41898714-fe8f-4e98-ab34-14afd4cfba0b,182.34,265.26,230.85
6fee0961-96d5-447c-9f06-0d139bb23c8e,199.38,247.92,190.00
73a7a817-ebf0-4ade-9c8f-447785279a2a,110.67,132.10,110.67
cd188783-24c2-4847-9941-056b8bc79051,78.46,104.88,110.48
cd9a1bcb-baa9-4048-96fd-12d8896c2ec1,94.83,119.51,129.98
d7f9ad65-3ba6-4f8e-b6af-99840b3e2be8,49.67,63.04,61.06
e1963536-6698-48aa-9a20-6d45b304737e,39.13,46.73,63.29
37a5c679-dac0-419a-859d-089a0806ffc5,58.29,71.27,58.29
5ff1df57-caa3-49ab-84de-79122940a273,80.05,106.73,72.00
0190ae0c-bbf2-430f-8661-772bf57cc388,51.17,63.32,75.21
0c2b2efa-6f35-4c1f-9cc2-a0e49143930c,98.91,129.59,98.91
255ba476-d9ef-42cd-a2cc-429308b30993,63.16,81.22,63.16
35634cb4-cb96-49bc-bc67-23ec1c3093a7,53.87,91.56,53.87
5228bb9f-4c71-4018-8627-102625e1d889,55.80,73.34,65.00
661309f9-d600-4b39-96ec-b892b6ed93b3,87.78,103.12,105.00
676df196-c949-4bc3-b8ae-5aa19ba405e8,70.95,87.56,79.00
6f1a2375-8211-4854-b90d-cf903ff26033,36.98,45.20,54.60
8f6bf5d4-3042-4e61-af80-35ad362b8119,102.86,121.01,102.86
954778ad-695b-43af-ad6c-d1b4b9f3a5a3,115.37,140.78,188.75
a09ebc94-9fe7-45e6-bd49-c5a7fc9a11b1,123.03,144.99,123.03
a443bdf6-0505-41df-bf3d-a726eb8b9c73,27.14,35.63,27.14
c032ac99-b7ab-4241-a6c8-d365d7e78a5a,35.70,49.98,49.98
c401a350-b916-4bc7-8c6e-c3636f2ec27f,75.80,92.64,92.64
d2963740-4c8f-4df6-80c2-42e6e63310ed,131.65,175.06,146.11
d4241a47-240d-42f1-93b0-fc2a66958764,94.90,184.41,193.46
ee5f0421-a268-4441-aa15-d15adf2d19d4,278.73,333.66,278.73
f71d93b5-e020-491a-b7b0-511ca5ed1360,40.10,55.00,50.00
b9aaa136-fbda-454c-a21f-26f10246a9a3,89.42,103.72,89.42
dece1384-9374-4a8e-91f2-924b1bd62d4b,110.84,133.72,152.00
84e28c21-3171-411d-9190-a6ebdb005a25,74.96,99.95,99.95
9be53098-14b0-40d6-a182-8ca4ff519ccd,80.00,90.00,120.88
c6b13d4e-600f-4251-a7b2-2a0df93651ce,137.55,185.27,170.31
c8fae6f8-2f31-4ec0-9729-8cabd631b1f6,127.70,175.79,166.83
9c37d060-8ba6-4ee3-85a5-bad70c673114,62.86,76.24,62.86
d1333d52-b9e4-41fd-a7d2-9e12dcdd1586,90.76,115.09,112.00
0081be53-85a0-4399-ab68-9b04bfb6f19d,59.54,71.98,63.00
10041ea8-6687-4533-9225-79c8983fceb0,76.48,101.98,76.48
10b8c240-8e97-4ebd-bab3-a988d8e21fe6,161.23,187.53,187.51
223fc532-9302-4830-b8c2-4bce603b98bc,47.90,68.91,47.90
2a232da0-9390-458b-960c-994b6eb362b0,61.50,74.60,92.99
2b84583a-e6a6-4d9f-93f6-81945ecbc2f1,131.92,162.59,152.00
6187b938-af7e-4346-baf2-1bea374eacbd,57.31,74.16,65.00
6890c7c8-c6dd-443f-bd36-2ec1fb34a6e6,102.82,137.09,137.09
9b991de7-ed31-4ec2-a0d5-59764b07bac3,208.25,296.23,310.30
af9b8d23-f7f4-479c-b37b-b4773cb7d44f,92.82,110.68,92.82
07c4222f-0dae-4208-948a-f66d607f5ec6,82.13,100.39,82.13
354e0c62-cba7-4edf-adde-109ce323f4f8,36.58,44.26,51.00
64ad08eb-e30f-4bfc-bb12-26d600fc4719,183.38,254.02,264.36
2fcf61e4-cc63-430c-b088-c00ea3870ca5,120.26,145.36,110.00
58fdbe84-f27d-46f7-bb2c-42cc9ad973cc,43.80,55.12,53.80
