booking_uuid,booker_uuid,chauffeur_uuid,booked_start_at,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,booked_duration,booked_distance,gross_revenue_eur
fc4191cd-0d1f-4b31-8d74-e02440b7fbd5,47c1e1db-264b-52ec-8cf8-14b10de1eaad,0de477ff-e0c3-51a7-bd16-88a0e1dce69d,2024-10-12 14:10:00,103.8545,1.2949,103.9901,1.3611,1184,19190,44.62
d204f6de-8005-4be2-a1c9-d15e90f64a31,21d09435-a48c-5c02-aecf-09acce58e75e,8beda9af-a8df-5e9d-af32-f64a7c7c07a3,2024-10-12 1:58:00,55.3554,25.2461,55.1416,25.1393,2095,39419,97.50
ed0cce4c-3d1d-4930-8d42-49e2f200569a,1bb3cb18-891c-5708-9058-b793b2556e6f,d9a021b5-3c6b-52ff-b12a-421fc085651c,2024-10-12 15:15:00,78.4296,17.2368,78.4154,17.4991,3405,41740,38.35
f0d34896-7ce2-46d7-bbcf-f60d7389a772,46e5c168-c237-51af-8d8c-acfcc90218c2,3f68d90d-2654-55a9-8daa-dc7edd231937,2024-10-12 15:00:00,-0.0883,51.4325,-0.4542,51.4716,3700,34502,148.65
e79ac0a0-12af-4c66-8140-d21ef1e4b3f5,b5768a00-34f3-5f8b-a0b9-2120c387b628,da701169-472f-5c3b-7f00-0ee9035bfea2,2024-10-12 5:10:00,174.8796,-36.8540,174.7828,-37.0047,2322,25573,79.28
fdf55f7c-cb58-4b1a-965b-3618bad7d8a2,1e78be07-e7e9-549f-b158-7ac1606ce3f0,0c4698db-300c-544c-9ab7-7ef0e960c869,2024-10-12 12:00:00,17.9308,59.6511,15.1865,60.1501,9241,202890,429.86
f1a61067-383e-4038-bd14-7e886a74f657,1bb3cb18-891c-5708-9058-b793b2556e6f,fe4af15e-dcb1-5066-a31f-ea18ae6443c4,2024-10-12 11:45:00,77.6317,12.8505,77.7095,13.1994,6125,53380,40.09
f508227d-a414-4d51-9005-4cba4b401071,a95898ed-6776-5b42-afb7-8c68d34745e3,8e0e11b1-0e50-54d5-b5f0-443c902cf01a,2024-10-12 1:26:00,-84.4470,33.6399,-84.3874,33.7614,933,18563,100.76
f8abd1a3-746a-4020-8a70-fe2b0f7b6cf8,2b54d078-4546-5145-9960-b073c11229d0,ad07497a-96e8-581a-9aaf-f755a38846ed,2024-10-12 18:00:00,-71.7091,42.3394,-71.0201,42.3695,3539,70110,341.58
db0dcc3f-bda8-4cf8-8c6d-d5dcac59eb83,18f3400e-e6c4-5297-a677-2d70831f69e8,b48b9fa5-1fdc-5fc5-a805-e92ad5312e37,2024-10-12 9:05:00,8.6656,50.1077,8.5893,50.0588,970,10026,60.43
ef07e424-dfb7-4f82-9427-4a88ff8ee2dc,35ac6be5-4430-574f-9319-eb9f79805427,726d96c3-0ab6-5aa0-a789-e74132c38e0d,2024-10-12 18:40:00,-73.7861,40.6452,-73.9810,40.7647,3020,30395,154.53
fedb4385-80e3-47ea-84dd-2add0917d055,35ac6be5-4430-574f-9319-eb9f79805427,8a3d9d71-4759-5693-8aa3-230277a15163,2024-10-12 23:35:00,-71.0699,42.3582,-71.0201,42.3695,966,6745,105.56
cf8d8b9a-85d7-43a4-b8d2-66e2623e20a7,989db7c9-79c1-504b-9884-a11c3c0fd994,46c5fab4-0ff9-59d7-b6f0-411511b12f04,2024-10-12 5:14:00,-97.0405,32.8975,-96.9585,32.8631,1340,13012,87.05
ddd2d431-cd74-4001-bcfd-932950abecd3,6ec07343-7444-57c7-b4d4-73b2d4c1a733,ea76d79d-808e-51b0-aa08-d4d62b22209a,2024-10-12 23:10:00,-123.1803,49.1937,-122.2847,49.1517,4920,85942,231.61
e867838e-5e28-423a-bcb9-76776c39b103,b54bcbff-4ca7-5949-be08-020f3147b860,e23db4cb-fd1b-5693-bb68-1e18d9f780c0,2024-10-12 4:10:00,-0.1343,51.4988,-0.4542,51.4716,2677,27416,124.65
fa77da23-a864-4dd6-958d-d7b163e81e97,698b6ed5-f0d4-5e44-b9df-63f3dd2bfa9e,26687d9a-5316-58b9-893c-965141f3153d,2024-10-12 14:45:00,11.2664,43.7770,11.2012,43.8021,1331,8418,122.71
fce613db-ff2d-4401-b307-f8c00d771e60,1bb3cb18-891c-5708-9058-b793b2556e6f,62caa6a4-ac46-524f-8612-019d2281c555,2024-10-12 9:15:00,72.8744,19.0996,72.9821,19.2232,3193,24365,35.93
e88e37df-5bbc-445e-8cfa-3ffd1a583f9a,6c85cb6b-8820-5522-b59c-5bb05c081168,89190a0a-f2c0-50c4-81c0-6e34adc237a2,2024-10-12 6:20:00,16.4051,48.2159,16.3835,48.2064,668,3527,44.47
f45950bc-b13c-4bdd-b1a2-d4c7ad1bbf84,938f5c9d-ed29-5619-a20c-cbc5fb998c9c,null,2024-10-12 2:35:00,-122.3816,37.6193,-121.8589,37.2927,2797,66097,244.85
f7a83638-de34-4347-9fc9-937a453c7671,c8036bb7-a822-5eb3-bdc1-88c1e01eac58,134600ef-60ac-5e7d-7fdb-62dc8dc08aa1,2024-10-12 20:30:00,-95.6512,30.3953,-95.3415,29.9862,3232,72501,229.42
fa24fd8c-35bc-4394-9273-f99cfa5c3273,4d46b3a3-75d9-5cb8-9ec1-1fce5c6e2c33,b9c74ec4-f09f-5c65-897a-5b2c46d4610b,2024-10-12 6:45:00,-0.4542,51.4716,-0.0740,51.5068,4149,33174,154.75
fb9ec016-81d1-443b-9a93-d77f4ba1058a,9c090305-3972-5613-a3a7-c5d824528f24,95c90b58-e34e-55e1-8621-ef50bbad5f33,2024-10-12 10:00:00,28.9971,41.0439,28.7428,41.2592,2420,40296,141.87
00bdf5cc-ef85-4822-adaa-bc513f8cfe59,40ac214f-218a-5e8f-a4f8-012a81575f02,55930e67-3ef7-5181-89bf-be86a0d63748,2024-10-12 20:20:00,-71.0201,42.3695,-71.2734,41.5958,4220,106582,310.92
036a7cf2-cd88-4619-8dc0-9bd1f2dddfcc,b5768a00-34f3-5f8b-a0b9-2120c387b628,0f1a57e5-405f-5811-a85e-d1a8ec31f315,2024-10-12 22:40:00,174.7828,-37.0047,174.7471,-36.8635,1604,21645,79.28
07ba6091-61d3-471c-bbe6-5fd1cd85d5b1,35ac6be5-4430-574f-9319-eb9f79805427,98ecd947-4915-574a-ac3d-feec6a70b727,2024-10-12 13:05:00,-73.7861,40.6452,-74.0117,41.4279,5462,114857,236.28
1263c757-32e3-4138-8509-99fef1544b9c,1bb3cb18-891c-5708-9058-b793b2556e6f,b2f17ff0-b9f3-5212-bc21-29afbe7f56d3,2024-10-12 3:45:00,77.7095,13.1994,77.6965,13.4021,2892,31726,40.09
25baa999-0b46-478c-9d94-e16871a4a0e3,dd9acb8a-6209-5d3d-904e-b326699587c3,7917e093-bfc4-52eb-a651-8847ff51d158,2024-10-12 6:05:00,-0.4542,51.4716,-0.2088,51.4710,3053,21778,137.59
3e044d27-f3b1-45f8-8b00-e17b883f7aa9,1bb3cb18-891c-5708-9058-b793b2556e6f,8e49bce6-b591-5ad3-9bff-81fae4a29a1b,2024-10-12 19:15:00,77.6935,12.9488,77.7095,13.1994,5913,46209,40.09
a0c450f9-8f68-4f06-8cbc-f87f18dfaa82,c13b5016-219d-513d-7f7d-c80d2fef4823,f79268c7-1630-59ce-abf5-435434a7d23d,2024-10-12 11:20:00,12.2527,41.7952,12.4824,41.8895,1980,27080,136.11
af55407b-227d-46db-8719-ea24a8afe7ac,5342979f-0eae-5eca-ab46-e711289ca334,5a20b9a0-ac60-58aa-a002-653ec42509a4,2024-10-12 9:55:00,11.2493,43.7769,11.2576,43.7693,1221,5552,98.80
b5d86dde-b439-489b-889b-9dfbaf7143b1,bd6cedfe-bd79-5889-a67d-631a153f4ec3,aa553638-b486-5af9-a33f-b33f8b0a28c6,2024-10-12 3:30:00,2.3655,48.8673,2.5838,49.0045,2228,27220,140.35
bbabe209-7397-4164-9e5c-dfb50f996be4,236cbcba-73d6-50fb-ae1f-af121db83eb5,8ddf314b-193e-5cec-ac9b-9732e13aa1df,2024-10-12 9:40:00,2.5838,49.0045,2.3365,48.8824,2362,30819,124.64
d4171a4c-fdf2-4d85-b2c8-34074cce580c,1bb3cb18-891c-5708-9058-b793b2556e6f,61e217bd-5d4f-55ea-7f06-47457224ff60,2024-10-12 20:00:00,72.8401,19.1520,72.8744,19.0996,1434,10505,19.93
e6de67aa-91ac-4d33-a3a5-80d7734ee12a,510f70a9-e786-5b40-bba7-d8df8d98cea4,3cc4a85c-f23b-5471-b833-88ef771a1e67,2024-10-12 21:40:00,-79.6159,43.6843,-79.7404,43.4556,1940,40248,150.25
fc44e54c-28c7-457c-99b9-0188d805ba6e,c3b805b3-da32-533f-86a1-239dd230e61c,87a8650c-b887-56e0-b57f-801ab87073c5,2024-10-12 15:00:00,18.4247,-34.0816,18.5971,-33.9699,2758,33368,70.17
812f1e27-08f5-46aa-b5cd-9783cc532c1e,a42c7afb-17df-59f0-afc4-d079e137360b,05ec0533-b815-5594-8d33-0d66cc33b49c,2024-10-12 11:50:00,-9.1281,38.7699,-9.1554,38.7266,1099,7109,60.10
bbf4f93a-a68f-438f-87b4-7542cb76a482,b42ab870-0d23-5e80-b189-8ec8dda39f75,67a735b2-1884-56c5-9a33-05f9ce0ca405,2024-10-12 16:05:00,-80.2871,25.7959,-80.1586,25.7716,1514,21773,147.11
db60f986-02e9-4299-b5bf-76037ac76d52,1bb3cb18-891c-5708-9058-b793b2556e6f,1d26b570-a0d0-5e42-8526-bf2f77a02da3,2024-10-12 1:30:00,77.0037,28.4968,77.0862,28.5556,2085,24822,33.99
dc45775e-d2b8-4536-af17-bcf0f081f91d,6a45256a-6255-5ce8-8fdc-2299ed5fb7d5,null,2024-10-12 8:25:00,-0.4542,51.4716,-0.0168,52.0622,5497,87828,314.90
de396114-4505-40d3-b132-5f92220a1db9,6563aab0-fbc4-5de4-81ac-a2c680039fc5,2467fcde-a356-5166-81d4-5dce3e30e260,2024-10-12 4:05:00,-43.2481,-22.8116,-43.1895,-22.9860,2403,30684,160.51
c50c4961-86e3-4592-a9d0-80ea39b87449,a42c7afb-17df-59f0-afc4-d079e137360b,8ad78d44-2766-57d1-a404-bab1a6811b3d,2024-10-12 16:00:00,-9.1553,38.7256,-9.1281,38.7699,1087,8504,43.90
cb812757-f576-4eab-87d9-e0275d9aabae,1bb3cb18-891c-5708-9058-b793b2556e6f,1b82b5f8-1ee6-5d4c-b09c-5f8456e062fa,2024-10-12 21:40:00,80.1638,12.9818,80.2588,12.9978,1970,14240,36.69
d946eb7c-aa21-45d6-bfd8-8790eac00cfa,ea7ed83e-8c75-57ba-92bc-88e8e1ce2686,8ddf314b-193e-5cec-ac9b-9732e13aa1df,2024-10-12 12:45:00,2.5838,49.0045,2.3440,48.8678,2821,31987,117.75
e90cc6a4-98fe-4c9b-9a53-0313d5f29ba6,74cf0224-544f-5ba2-8a95-7916bc7c1550,4f1fc0b9-5ae6-5010-82f5-640e71acc5ff,2024-10-12 16:45:00,-0.1421,51.4944,-0.4542,51.4716,3013,27365,124.52
e98c97e5-9414-4e5f-b86e-78541c48dc59,1bb3cb18-891c-5708-9058-b793b2556e6f,18ca850b-e6ee-5e5f-b54f-c75a83ec4bfe,2024-10-12 14:10:00,77.7095,13.1994,77.5956,12.9670,3132,35243,40.09
